RefSOUSSOUSDomaineF,RefSOUSDomaineF,Le_nom,Description,Notes,Nombre_avis,Duree,Niveau,Liens,MotsCles
CEGOS_DomaineF-01-01-01,CEGOS_DomaineF-01-01,Responsable Achats,Accès à la certification de niveau 6 enregistrée au RNCP – Éligible au CPF. La formation de référence des Responsables Achats,"4,8/5 ",(23 avis),36 jours (255 heures),non débutant,https://www.cegos.fr/formations/achats/responsable-achats-2,"responsable, achats"
CEGOS_DomaineF-01-01-02,CEGOS_DomaineF-01-01,Management opérationnel des achats,"Grâce à cette formation, maitrisez les outils de management et les fondamentaux des achats. Pilotez les résultats et motivez vos collaborateurs.","4,7/5 ",(46 avis),2 jours (14 heures),non débutant,https://www.cegos.fr/formations/achats/management-operationnel-des-achats,"operationnel, achats"
CEGOS_DomaineF-01-01-03,CEGOS_DomaineF-01-01,Formation au métier d''acheteur,"Optez pour une formation complète couvrant toutes les composantes du métier d ''acheteur : méthodes, outils, comportements…. Certification possible....","4,6/5 ",(66 avis),9 jours (63 heures),non débutant,https://www.cegos.fr/formations/achats/formation-au-metier-dacheteur,"formation, metier, acheteur"
CEGOS_DomaineF-01-01-04,CEGOS_DomaineF-01-01,Formation pratique à l''achat,Adoptez les outils et reflexes de l ''acheteur performant grâce au décodage des pratiques d ''excellence opérationnelle.,"4,7/5 ",(191 avis),2 jours (14 heures),non débutant,https://www.cegos.fr/formations/achats/formation-pratique-a-lachat,"formation, pratique, achat"
CEGOS_DomaineF-01-01-05,CEGOS_DomaineF-01-01,Formation assistant achat,Suivez les achats au quotidien en assistant les acheteurs. Découvrez les étapes clès d ''un achat et devenez plus autonome dans votre fonction.,"4,6/5 ",(39 avis),2 jours (14 heures),non débutant,https://www.cegos.fr/formations/achats/formation-assistant-achat,"formation, assistant, achat"
CEGOS_DomaineF-01-01-06,CEGOS_DomaineF-01-01,Achat Public,"Optez pour une formation complète au métier d ''acheteur public : code des Marchés Publics, procédure d ''appel d ''offres, expression des besoins et nég...",,,8 jours (56 heures),non débutant,https://www.cegos.fr/formations/secteur-public/achat-public,"achat, public"
CEGOS_DomaineF-01-01-07,CEGOS_DomaineF-01-01,Achats pour non-acheteurs,Cette formation de 2 jours vous permet d ''acquérir les pratiques clés pour négocier au mieux et en toute sécurité juridique les produits ou les pres...,"4,7/5 ",(31 avis),2 jours (14 heures),non débutant,https://www.cegos.fr/formations/achats/achats-pour-non-acheteurs,"achats, acheteurs"
CEGOS_DomaineF-01-01-08,CEGOS_DomaineF-01-01,Achat et approvisionnement en PME,Pour doter le Responsable achat et approvisionnement des outils pour mener de front ces deux missions d ''appro. et d ''achat dans le contexte d ''une PME.,"4,4/5 ",(21 avis),2 jours (14 heures),non débutant,https://www.cegos.fr/formations/achats/achat-et-approvisionnement-en-pme,"achat, pme"
CEGOS_DomaineF-01-02-01,CEGOS_DomaineF-01-02,Négociation d''achats - Niveau 1,Adoptez les bons reflexes de la négociation d ''achat grâce à l ''entrainement sur des cas pratiques.,"4,7/5 ",(267 avis),2 jours (14 heures),non débutant,https://www.cegos.fr/formations/achats/negociation-dachats-niveau-1,"negociation, achats, niveau"
CEGOS_DomaineF-01-02-02,CEGOS_DomaineF-01-02,Négociation d''achats - Niveau 2,"Adoptez les bons comportements, réactions et modes de communication dans votre négociation d ''achats. Réalisez aussi votre autodiagnostic.","4,5/5 ",(113 avis),2 jours (14 heures),non débutant,https://www.cegos.fr/formations/achats/negociation-dachats-niveau-2,"negociation, achats, niveau"
