RefDomaine,DomaineDeFormation,MotsCles
COURSERA_DomaineF-01,Computer Science,"computer, science"
COURSERA_DomaineF-02,Data Science,"data, science"
COURSERA_DomaineF-03,Business,business
COURSERA_DomaineF-04,Information Technology,"information, technology"
COURSERA_DomaineF-05,Arts and Humanities,"arts, humanities"
COURSERA_DomaineF-06,Personal Development,"personal, development"
COURSERA_DomaineF-07,Health,health
COURSERA_DomaineF-08,Language Learning,"language, learning"
COURSERA_DomaineF-09,Social Sciences,"social, sciences"
COURSERA_DomaineF-10,Math and Logic,"math, logic"
COURSERA_DomaineF-11,Physical Science and Engineering,"physical, science, engineering"
