RefDomaineF,DomaineDeFormation,MotsCles
UDEMY_DomaineF-01,Development,development
UDEMY_DomaineF-02,Business,business
UDEMY_DomaineF-03,Finance et Accounting,"finance, accounting"
UDEMY_DomaineF-04,IT et Software,software
UDEMY_DomaineF-05,Office Productivity,"office, productivity"
UDEMY_DomaineF-06,Personal Development,"personal, development"
UDEMY_DomaineF-07,Design,design
UDEMY_DomaineF-08,Marketing,marketing
UDEMY_DomaineF-09,Lifestyle,lifestyle
UDEMY_DomaineF-010,Photography et Video,"photography, video"
UDEMY_DomaineF-011,Health et Fitness,"health, fitness"
UDEMY_DomaineF-012,Music,music
UDEMY_DomaineF-013,Teaching et Academics,"teaching, academics"
