RefSousDomaine,SousDomaineDeFormation,formation,MotsCles
UDEMY_DomaineF-01-01,Web Development,Development,"web, development"
UDEMY_DomaineF-01-02,Data Science,Development,"data, science"
UDEMY_DomaineF-01-03,Mobile Development,Development,"mobile, development"
UDEMY_DomaineF-01-04,Programming Languages,Development,"programming, languages"
UDEMY_DomaineF-01-05,Game Development,Development,"game, development"
UDEMY_DomaineF-01-06,Database Design et Development,Development,"database, design, development"
UDEMY_DomaineF-01-07,Software Testing,Development,"software, testing"
UDEMY_DomaineF-01-08,Software Engineering,Development,"software, engineering"
UDEMY_DomaineF-01-09,Software Development Tools,Development,"software, development, tools"
UDEMY_DomaineF-01-010,No-Code Development,Development,"code, development"
UDEMY_DomaineF-02-01,Entrepreneurship,Business,entrepreneurship
UDEMY_DomaineF-02-02,Communication,Business,communication
UDEMY_DomaineF-02-03,Management,Business,management
UDEMY_DomaineF-02-04,Sales,Business,sales
UDEMY_DomaineF-02-05,Business Strategy,Business,"business, strategy"
UDEMY_DomaineF-02-06,Operations,Business,operations
UDEMY_DomaineF-02-07,Project Management,Business,"project, management"
UDEMY_DomaineF-02-08,Business Law,Business,"business, law"
UDEMY_DomaineF-02-09,Business Analytics et Intelligence,Business,"business, analytics, intelligence"
UDEMY_DomaineF-02-010,Human Resources,Business,"human, resources"
UDEMY_DomaineF-02-011,Industry,Business,industry
UDEMY_DomaineF-02-012,E-Commerce,Business,commerce
UDEMY_DomaineF-02-013,Media,Business,media
UDEMY_DomaineF-02-014,Real Estate,Business,"real, estate"
UDEMY_DomaineF-02-015,Other Business,Business,business
UDEMY_DomaineF-03-01,Accounting et Bookkeeping,Finance et Accounting,"accounting, bookkeeping"
UDEMY_DomaineF-03-02,Compliance,Finance et Accounting,compliance
UDEMY_DomaineF-03-03,Cryptocurrency et Blockchain,Finance et Accounting,"cryptocurrency, blockchain"
UDEMY_DomaineF-03-04,Economics,Finance et Accounting,economics
UDEMY_DomaineF-03-05,Finance,Finance et Accounting,finance
UDEMY_DomaineF-03-06,Finance Cert et Exam Prep,Finance et Accounting,"finance, cert, exam, prep"
UDEMY_DomaineF-03-07,Financial Modeling et Analysis,Finance et Accounting,"financial, modeling, analysis"
UDEMY_DomaineF-03-08,Investing et Trading,Finance et Accounting,"investing, trading"
UDEMY_DomaineF-03-09,Money Management Tools,Finance et Accounting,"money, management, tools"
UDEMY_DomaineF-03-010,Taxes,Finance et Accounting,taxes
UDEMY_DomaineF-03-011,Other Finance et Accounting,Finance et Accounting,"finance, accounting"
UDEMY_DomaineF-04-01,IT Certifications,IT et Software,certifications
UDEMY_DomaineF-04-02,Network et Security,IT et Software,"network, security"
UDEMY_DomaineF-04-03,Hardware,IT et Software,hardware
UDEMY_DomaineF-04-04,Operating Systems et Servers,IT et Software,"operating, systems, servers"
UDEMY_DomaineF-04-05,Other IT et Software,IT et Software,software
UDEMY_DomaineF-05-01,Microsoft,Office Productivity,microsoft
UDEMY_DomaineF-05-02,Apple,Office Productivity,apple
UDEMY_DomaineF-05-03,Google,Office Productivity,google
UDEMY_DomaineF-05-04,SAP,Office Productivity,sap
UDEMY_DomaineF-05-05,Oracle,Office Productivity,oracle
UDEMY_DomaineF-05-06,Other Office Productivity,Office Productivity,"office, productivity"
UDEMY_DomaineF-06-01,Personal Transformation,Personal Development,"personal, transformation"
UDEMY_DomaineF-06-02,Personal Productivity,Personal Development,"personal, productivity"
UDEMY_DomaineF-06-03,Leadership,Personal Development,leadership
UDEMY_DomaineF-06-04,Career Development,Personal Development,"career, development"
UDEMY_DomaineF-06-05,Parenting et Relationships,Personal Development,"parenting, relationships"
UDEMY_DomaineF-06-06,Happiness,Personal Development,happiness
UDEMY_DomaineF-06-07,Religion et Spirituality,Personal Development,"religion, spirituality"
UDEMY_DomaineF-06-08,Personal Brand Building,Personal Development,"personal, brand, building"
UDEMY_DomaineF-06-09,Creativity,Personal Development,creativity
UDEMY_DomaineF-06-010,Influence,Personal Development,influence
UDEMY_DomaineF-06-011,Self Esteem et Confidence,Personal Development,"self, esteem, confidence"
UDEMY_DomaineF-06-012,Stress Management,Personal Development,"stress, management"
UDEMY_DomaineF-06-013,Memory et Study Skills,Personal Development,"memory, study, skills"
UDEMY_DomaineF-06-014,Motivation,Personal Development,motivation
UDEMY_DomaineF-06-015,Other Personal Development,Personal Development,"personal, development"
UDEMY_DomaineF-07-01,Web Design,Design,"web, design"
UDEMY_DomaineF-07-02,Graphic Design et Illustration,Design,"graphic, design, illustration"
UDEMY_DomaineF-07-03,Design Tools,Design,"design, tools"
UDEMY_DomaineF-07-04,User Experience Design,Design,"user, experience, design"
UDEMY_DomaineF-07-05,Game Design,Design,"game, design"
UDEMY_DomaineF-07-06,3D et Animation,Design,animation
UDEMY_DomaineF-07-07,Fashion Design,Design,"fashion, design"
UDEMY_DomaineF-07-08,Architectural Design,Design,"architectural, design"
UDEMY_DomaineF-07-09,Interior Design,Design,"interior, design"
UDEMY_DomaineF-07-010,Other Design,Design,design
UDEMY_DomaineF-08-01,Digital Marketing,Marketing,"digital, marketing"
UDEMY_DomaineF-08-02,Search Engine Optimization,Marketing,"search, engine, optimization"
